R,G,B
82,63,2
82,63,2
82,64,1
82,64,1
82,64,1
81,63,0
81,63,0
81,63,0
81,63,0
81,63,0
82,64,1
83,65,2
83,65,2
83,65,2
83,65,2
83,65,2
83,65,2
84,66,3
84,66,3
84,66,3
83,65,2
82,64,1
82,64,1
82,64,1
81,63,0
82,64,1
83,65,2
83,65,2
83,65,2
83,65,2
82,64,1
82,64,1
82,64,1
82,64,1
82,64,1
83,65,2
83,65,2
82,64,1
82,64,0
82,64,0
83,65,0
83,65,0
82,66,0
82,66,0
82,66,0
82,66,0
82,66,0
82,66,0
83,65,0
83,65,0
83,65,0
83,65,0
83,65,0
83,65,0
83,65,0
83,65,0
83,65,0
83,65,0
83,65,0
83,65,0
83,65,0
83,65,0
83,65,0
83,65,0
81,65,0
82,66,0
82,66,0
82,66,0
83,65,0
83,65,0
83,65,0
83,65,0
83,65,0
83,65,0
84,67,0
84,67,0
85,68,1
85,68,1
84,67,0
83,66,0
84,64,0
85,65,0
86,66,1
85,65,0
82,65,0
82,65,0
82,66,0
84,68,1
83,67,0
83,67,0
84,67,0
83,66,0
85,65,0
85,65,0
88,66,1
86,66,1
86,67,0
84,67,0
84,67,0
84,67,0
83,67,0
84,68,1
83,67,0
83,67,0
83,67,0
83,67,0
83,67,0
83,67,0
83,67,0
83,67,0
83,67,0
83,67,0
86,67,0
86,67,0
86,67,0
86,67,0
87,68,1
87,68,1
87,68,1
86,67,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
86,67,0
86,67,0
86,67,0
86,67,0
85,66,0
85,66,0
86,67,0
86,67,0
86,67,0
86,67,0
86,67,0
86,67,0
87,68,0
87,68,0
87,68,0
86,67,0
87,68,0
87,68,0
87,68,0
86,67,0
87,68,1
87,68,1
87,68,1
87,68,1
87,68,1
86,67,0
86,67,0
86,67,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
84,65,0
85,66,0
85,66,0
85,66,0
85,66,0
86,67,0
86,67,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
84,65,0
84,65,0
85,66,0
85,66,0
85,66,0
84,65,0
86,67,0
86,67,0
86,67,0
86,67,0
85,66,0
85,66,0
85,66,0
86,67,0
86,67,0
86,67,0
86,67,0
86,67,0
86,67,0
86,67,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
85,66,0
83,66,0
83,66,0
83,66,0
82,65,0
85,66,0
85,66,0
85,66,0
