R,G,B
78,73,18
77,72,17
77,72,17
77,72,17
78,73,18
78,73,18
78,73,18
77,72,17
77,72,17
77,72,17
77,72,17
77,72,17
78,73,18
78,73,18
78,73,18
78,73,18
77,72,17
78,73,18
78,73,18
78,73,18
78,73,18
79,74,19
79,74,19
78,73,18
79,75,17
79,75,17
79,75,17
79,75,17
79,75,17
79,75,17
79,75,17
78,74,16
79,72,15
79,72,15
80,73,16
80,73,16
80,73,16
80,73,16
79,72,15
79,72,15
76,72,14
77,73,15
77,73,15
76,72,14
78,74,16
79,75,17
79,75,17
77,73,15
77,73,15
77,73,15
78,74,16
78,74,16
78,74,16
77,73,15
77,73,15
76,72,14
77,73,15
77,73,15
77,73,15
77,73,15
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
79,75,17
78,74,16
78,74,16
77,73,15
77,73,15
78,74,16
79,75,17
79,75,17
79,75,17
79,75,17
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
79,75,17
79,75,17
78,74,16
77,73,15
78,74,16
79,75,17
80,76,18
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
79,75,17
81,74,17
81,74,17
79,75,17
79,75,17
79,75,17
79,75,17
79,75,17
79,75,17
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
80,76,18
80,76,18
79,75,17
78,74,16
77,73,15
77,73,15
77,73,15
78,74,16
79,75,17
79,75,17
79,75,17
78,74,16
78,74,16
77,73,15
77,73,15
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
77,73,15
78,74,16
78,74,16
77,73,14
77,73,14
76,72,13
76,72,13
76,72,13
75,71,12
76,72,13
77,73,14
78,74,15
78,74,15
77,73,15
77,73,15
78,74,16
79,75,17
79,75,17
77,73,15
78,74,16
80,76,18
79,75,17
79,75,17
80,76,18
80,76,18
79,75,17
78,74,16
77,73,15
78,74,16
78,74,16
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
77,73,15
78,74,16
78,74,16
78,74,16
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
78,74,15
77,73,14
77,73,14
76,71,16
76,71,16
76,71,16
77,72,17
77,73,15
76,72,14
76,72,14
76,72,14
75,71,13
75,71,13
75,71,13
75,71,13
75,71,13
76,72,14
77,73,15
77,73,15
77,73,14
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
77,72,17
77,72,17
78,73,18
78,73,18
78,73,18
77,72,17
77,72,17
77,72,17
77,72,17
77,72,17
77,72,17
78,73,18
80,73,18
80,73,18
80,73,18
80,73,18
80,73,18
79,72,17
79,72,17
79,72,17
80,73,18
80,73,18
80,73,18
79,72,17
78,73,18
77,72,17
77,72,17
77,72,17
78,73,18
78,73,18
78,73,18
78,73,18
78,73,18
77,72,17
77,72,17
77,72,17
78,73,18
78,73,18
78,73,18
78,73,18
77,72,17
77,72,17
77,72,17
77,72,17
78,73,18
78,73,18
78,73,18
77,72,17
77,72,17
78,73,18
78,73,18
78,73,18
78,73,18
79,74,19
79,74,19
79,74,19
79,75,17
79,75,17
78,74,16
79,75,17
79,75,17
79,75,17
79,75,17
79,75,17
79,72,15
79,72,15
80,73,16
81,74,17
81,74,17
80,73,16
79,72,15
79,72,15
76,72,14
76,72,14
76,72,14
76,72,14
78,74,16
79,75,17
79,75,17
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
77,73,15
77,73,15
77,73,15
77,73,15
77,73,15
76,72,14
76,72,14
77,73,15
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
77,73,15
77,73,15
76,72,14
77,73,15
78,74,16
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
78,74,16
78,74,16
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
78,74,16
79,75,17
79,75,17
79,75,17
79,75,17
79,75,17
78,74,16
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
77,73,15
78,74,16
79,75,17
78,74,16
78,74,16
78,74,16
79,75,17
79,75,17
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
80,73,16
81,74,17
78,74,16
79,75,17
80,76,18
80,76,18
80,76,18
79,75,17
78,74,16
78,74,16
78,74,16
77,73,15
78,74,16
79,75,17
80,76,18
79,75,17
78,74,16
77,73,15
76,72,14
77,73,15
78,74,16
79,75,17
79,75,17
79,75,17
78,74,16
78,74,16
77,73,15
77,73,15
78,74,16
78,74,16
78,74,16
77,73,15
77,73,15
76,72,14
78,74,16
78,74,16
77,73,14
77,73,14
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
77,73,14
78,74,15
78,74,15
77,73,15
77,73,15
78,74,16
79,75,17
79,75,17
78,74,16
79,75,17
80,76,18
79,75,17
79,75,17
80,76,18
80,76,18
79,75,17
78,74,16
77,73,15
77,73,15
78,74,16
78,74,16
78,74,16
78,74,16
77,73,15
78,74,16
78,74,16
79,75,17
78,74,16
78,74,16
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
78,74,15
78,74,15
78,74,15
77,73,14
76,71,16
76,71,16
76,71,16
76,71,16
76,72,14
76,72,14
76,72,14
76,72,14
75,71,13
75,71,13
75,71,13
75,71,13
75,71,13
76,72,14
76,72,14
77,73,15
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
78,73,18
78,73,18
78,73,18
78,73,18
78,73,18
77,72,17
77,72,17
76,71,16
76,71,16
77,72,17
77,72,17
78,73,18
80,73,18
80,73,18
80,73,18
80,73,18
80,73,18
80,73,18
79,72,17
80,73,18
80,73,18
80,73,18
80,73,18
80,73,18
78,73,18
77,72,17
77,72,17
77,72,17
78,73,18
78,73,18
78,73,18
78,73,18
78,73,18
77,72,17
77,72,17
77,72,17
78,73,18
78,73,18
79,74,19
78,73,18
77,72,17
77,72,17
77,72,17
77,72,17
77,72,17
77,72,17
77,72,17
77,72,17
77,72,17
78,73,18
78,73,18
78,73,18
78,73,18
79,74,19
79,74,19
79,74,19
79,75,17
78,74,16
78,74,16
78,74,16
79,75,17
79,75,17
79,75,17
79,75,17
78,71,14
79,72,15
80,73,16
81,74,17
81,74,17
80,73,16
79,72,15
79,72,15
75,71,13
76,72,14
76,72,14
77,73,15
78,74,16
79,75,17
79,75,17
79,75,17
78,74,16
77,73,15
76,72,14
76,72,14
77,73,15
78,74,16
78,74,16
78,74,16
76,72,14
76,72,14
76,72,14
77,73,15
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
77,73,15
76,72,14
77,73,15
78,74,16
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
77,73,15
78,74,16
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
79,75,17
80,76,18
79,75,17
79,75,17
79,75,17
79,75,17
79,75,17
78,74,16
77,73,15
77,73,15
76,72,14
76,72,14
76,72,14
78,74,16
79,75,17
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
79,75,17
79,75,17
79,75,17
78,74,16
77,73,15
79,72,15
80,73,16
78,74,16
79,75,17
79,75,17
80,76,18
80,76,18
79,75,17
78,74,16
78,74,16
78,74,16
77,73,15
77,73,15
79,75,17
80,76,18
79,75,17
77,73,15
77,73,15
77,73,15
77,73,15
78,74,16
79,75,17
79,75,17
79,75,17
78,74,16
78,74,16
77,73,15
78,74,16
79,75,17
79,75,17
79,75,17
79,75,17
78,74,16
77,73,15
77,73,15
77,73,15
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
78,74,15
78,74,15
78,74,15
77,73,15
77,73,15
78,74,16
79,75,17
79,75,17
78,74,16
78,74,16
79,75,17
78,74,16
78,74,16
80,76,18
79,75,17
78,74,16
77,73,15
76,72,14
77,73,15
77,73,15
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
79,75,17
79,75,17
79,75,17
78,74,16
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
78,74,15
78,74,15
78,74,15
78,74,15
78,74,15
77,72,17
76,71,16
76,71,16
76,71,16
76,72,14
76,72,14
76,72,14
76,72,14
75,71,13
75,71,13
75,71,13
75,71,13
76,72,14
76,72,14
76,72,14
76,72,14
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
78,73,18
78,73,18
78,73,18
78,73,18
78,73,18
77,72,17
77,72,17
76,71,16
76,71,16
77,72,17
78,73,18
78,73,18
80,73,18
80,73,18
79,72,17
79,72,17
80,73,18
80,73,18
80,73,18
80,73,18
80,73,18
80,73,18
80,73,18
80,73,18
77,72,17
77,72,17
77,72,17
77,72,17
77,72,17
78,73,18
78,73,18
78,73,18
78,73,18
77,72,17
77,72,17
78,73,18
78,73,18
79,74,19
79,74,19
79,74,19
78,73,18
78,73,18
77,72,17
77,72,17
77,72,17
77,72,17
77,72,17
77,72,17
77,72,17
78,73,18
78,73,18
78,73,18
78,73,18
79,74,19
79,74,19
79,74,19
79,75,17
78,74,16
77,73,15
78,74,16
78,74,16
79,75,17
79,75,17
79,75,17
78,71,14
79,72,15
80,73,16
81,74,17
81,74,17
81,74,17
80,73,16
79,72,15
76,72,14
76,72,14
76,72,14
77,73,15
78,74,16
78,74,16
79,75,17
79,75,17
78,74,16
77,73,15
76,72,14
76,72,14
77,73,15
78,74,16
78,74,16
79,75,17
76,72,14
76,72,14
76,72,14
76,72,14
77,73,15
78,74,16
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
77,73,15
77,73,15
77,73,15
77,73,15
78,74,16
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
77,73,15
77,73,15
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
78,74,16
79,75,17
79,75,17
78,74,16
79,75,17
79,75,17
78,74,16
78,74,16
77,73,15
77,73,15
76,72,14
76,72,14
76,72,14
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
77,73,15
79,75,17
79,75,17
79,75,17
79,75,17
78,74,16
77,73,15
79,72,15
79,72,15
77,73,15
78,74,16
79,75,17
80,76,18
80,76,18
79,75,17
78,74,16
77,73,15
77,73,15
77,73,15
77,73,15
78,74,16
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
78,74,16
78,74,16
79,75,17
79,75,17
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
78,74,16
78,74,16
79,75,17
78,74,16
78,74,16
77,73,15
76,72,14
76,72,14
76,72,13
77,73,14
77,73,14
77,73,14
77,73,14
78,74,15
77,73,14
78,74,15
78,74,15
78,74,15
77,73,15
77,73,15
78,74,16
79,75,17
79,75,17
78,74,16
78,74,16
79,75,17
78,74,16
78,74,16
79,75,17
78,74,16
78,74,16
76,72,14
75,71,13
76,72,14
77,73,15
78,74,16
78,74,16
78,74,16
79,75,17
79,75,17
79,75,17
79,75,17
79,75,17
78,74,16
77,73,14
77,73,14
77,73,14
77,73,14
78,74,15
78,74,15
78,74,15
78,74,15
78,74,15
78,74,15
77,72,17
77,72,17
76,71,16
76,71,16
76,72,14
75,71,13
76,72,14
76,72,14
76,72,14
76,72,14
76,72,14
76,72,14
76,72,14
76,72,14
76,72,14
76,72,14
77,73,14
77,73,14
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
76,72,13
78,73,18
78,73,18
78,73,18
78,73,18
78,73,18
77,72,17
76,71,16
76,71,16
76,71,16
77,72,17
78,73,18
78,73,18
80,73,18
79,72,17
79,72,17
79,72,17
82,72,18
82,72,18
80,73,18
80,73,18
79,72,17
79,72,17
79,72,17
80,73,18
78,73,18
77,72,17
77,72,17
77,72,17
77,72,17
78,73,18
76,73,18
76,73,18
78,73,18
78,73,18
78,73,18
78,73,18
79,74,19
80,75,20
80,75,20
80,75,20
79,74,19
78,73,18
77,72,17
77,72,17
77,72,17
77,72,17
77,72,17
77,72,17
77,72,17
78,73,18
78,73,18
77,72,17
78,73,18
78,73,18
79,75,17
79,75,17
78,74,16
77,73,15
77,73,15
77,73,15
78,74,16
79,75,17
79,75,17
79,75,17
78,71,14
78,71,14
79,72,15
80,73,16
81,74,17
81,74,17
80,73,16
80,73,16
79,72,15
79,72,15
77,73,15
78,74,16
78,74,16
78,74,16
79,75,17
80,76,18
78,74,16
77,73,15
76,72,14
76,72,14
77,73,15
78,74,16
79,75,17
79,75,17
76,72,14
76,72,14
76,72,14
77,73,15
77,73,15
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
77,73,15
77,73,15
78,74,16
77,73,15
78,74,16
78,74,16
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
77,73,15
77,73,15
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
78,74,16
79,75,17
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
77,73,15
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
77,73,15
78,74,16
79,75,17
79,75,17
79,75,17
78,74,16
77,73,15
79,72,15
79,72,15
77,73,15
78,74,16
78,74,16
79,75,17
79,75,17
79,75,17
78,74,16
78,74,16
77,73,15
77,73,15
75,73,15
75,73,15
75,73,15
75,73,15
75,73,15
75,73,15
78,74,16
78,74,16
78,74,16
79,75,17
78,74,16
78,74,16
77,73,15
76,72,14
76,72,14
76,72,14
77,73,15
77,73,15
78,74,16
78,74,16
77,73,15
76,72,14
76,72,14
76,72,14
77,73,14
77,73,14
78,74,15
78,74,15
77,73,14
77,73,14
77,73,14
78,74,15
78,74,15
78,74,15
77,73,15
77,73,15
78,74,16
79,75,17
79,75,17
77,73,15
78,74,16
79,75,17
78,74,16
78,74,16
79,75,17
78,74,16
78,74,16
76,72,14
75,71,13
76,72,14
77,73,15
78,74,16
79,75,17
79,75,17
79,75,17
79,75,17
79,75,17
79,75,17
78,74,16
78,74,16
77,73,14
77,73,14
77,73,14
78,74,15
78,74,15
78,74,15
78,74,15
78,74,15
78,74,15
78,74,15
78,73,18
77,72,17
76,71,16
76,71,16
76,72,14
75,71,13
76,72,14
76,72,14
77,73,15
77,73,15
76,72,14
76,72,14
76,72,14
76,72,14
76,72,14
76,72,14
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
76,72,13
76,72,13
78,73,18
78,73,18
78,73,18
78,73,18
77,72,17
77,72,17
76,71,16
76,71,16
76,71,16
77,72,17
78,73,18
78,73,18
80,73,18
79,72,17
79,72,17
79,72,17
81,71,17
82,72,18
81,74,19
80,73,18
79,72,17
78,71,16
79,72,17
80,73,18
78,73,18
77,72,17
77,72,17
77,72,17
77,72,17
78,73,18
76,73,18
76,73,18
78,73,18
78,73,18
78,73,18
78,73,18
79,74,19
80,75,20
80,75,20
80,75,20
79,74,19
78,73,18
78,73,18
77,72,17
77,72,17
77,72,17
77,72,17
77,72,17
77,72,17
78,73,18
78,73,18
77,72,17
78,73,18
78,73,18
79,75,17
78,74,16
78,74,16
77,73,15
76,72,14
77,73,15
77,73,15
78,74,16
79,75,17
79,75,17
78,71,14
78,71,14
79,72,15
80,73,16
81,74,17
81,74,17
81,74,17
80,73,16
80,73,16
79,72,15
77,73,15
78,74,16
78,74,16
78,74,16
79,75,17
80,76,18
78,74,16
77,73,15
76,72,14
76,72,14
77,73,15
79,75,17
79,75,17
79,75,17
76,72,14
76,72,14
76,72,14
77,73,15
77,73,15
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
77,73,15
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
77,73,15
77,73,15
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
77,73,15
77,73,15
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
79,75,17
78,74,16
76,72,14
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
79,72,15
79,72,15
77,73,15
77,73,15
78,74,16
79,75,17
79,75,17
79,75,17
78,74,16
78,74,16
77,73,15
77,73,15
75,73,15
75,73,15
75,73,15
74,72,14
75,73,15
75,73,15
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
77,73,15
76,72,14
76,72,14
76,72,14
76,72,14
77,73,15
77,73,15
78,74,16
78,74,16
78,74,16
77,73,15
76,72,14
76,72,14
77,73,14
78,74,15
78,74,15
78,74,15
77,73,14
77,73,14
77,73,14
78,74,15
78,74,15
77,73,14
76,72,14
76,72,14
78,74,16
79,75,17
79,75,17
77,73,15
78,74,16
79,75,17
78,74,16
78,74,16
79,75,17
79,75,17
78,74,16
76,72,14
76,72,14
76,72,14
78,74,16
79,75,17
79,75,17
80,76,18
79,75,17
79,75,17
79,75,17
78,74,16
78,74,16
77,73,15
77,73,14
77,73,14
76,72,13
78,74,15
79,75,16
79,75,16
78,74,15
77,73,14
77,73,14
78,74,15
78,73,18
77,72,17
76,71,16
76,71,16
76,72,14
75,71,13
76,72,14
76,72,14
78,74,16
77,73,15
76,72,14
75,71,13
75,71,13
76,72,14
76,72,14
77,73,15
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
76,72,13
76,72,13
77,72,17
77,72,17
77,72,17
77,72,17
76,71,16
76,71,16
77,72,17
77,72,17
79,74,19
79,74,19
79,74,19
78,73,18
80,73,18
79,72,17
79,72,17
79,72,17
78,71,16
79,72,17
80,73,18
80,73,18
79,72,17
78,71,16
79,72,17
79,72,17
77,72,17
77,72,17
77,72,17
77,72,17
77,72,17
78,73,18
78,73,18
78,73,18
80,73,18
80,73,18
81,74,19
81,74,19
81,74,19
81,74,19
81,74,19
81,74,19
81,74,19
81,74,19
81,74,19
81,74,19
80,73,18
80,73,18
79,72,17
79,72,17
80,73,16
80,73,16
80,73,16
80,73,16
80,73,16
80,73,16
80,73,16
80,73,16
80,73,16
79,72,15
79,72,15
79,72,15
80,73,16
80,73,16
80,73,16
80,73,16
77,70,13
78,71,14
79,72,15
80,73,16
80,73,16
81,74,17
80,73,16
80,73,16
80,73,16
80,73,16
80,73,16
80,73,16
80,73,16
81,74,17
79,75,17
79,75,17
78,74,16
77,73,15
76,72,14
77,73,15
78,74,16
79,75,17
79,75,17
78,74,16
77,73,15
77,73,15
77,73,15
78,74,16
78,74,16
78,74,16
78,74,16
77,73,15
78,74,16
77,73,15
77,73,15
78,74,16
79,75,17
79,75,17
79,75,17
79,75,17
79,75,17
78,74,16
78,74,16
78,74,16
78,74,16
79,75,17
79,75,17
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
78,74,16
78,74,16
79,75,17
79,75,17
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
79,75,17
79,75,17
79,75,17
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
78,74,16
77,73,15
78,74,16
80,73,16
80,73,16
78,74,16
77,73,15
78,74,16
79,75,17
80,76,18
79,75,17
78,74,16
77,73,15
77,73,15
78,74,16
76,74,16
75,73,15
75,73,15
75,73,15
76,74,16
76,74,16
79,75,17
79,75,17
79,75,17
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
78,74,16
78,74,16
77,73,15
77,73,15
77,73,15
78,74,16
77,73,15
77,73,15
76,72,14
76,72,14
77,73,14
78,74,15
77,73,14
78,74,15
78,74,15
76,72,13
77,73,14
78,74,15
79,75,16
77,73,14
76,72,14
76,72,14
77,73,15
79,75,17
79,75,17
78,74,16
77,73,15
77,73,15
77,73,15
78,74,16
79,75,17
80,76,18
79,75,17
78,74,16
77,73,15
77,73,15
78,74,16
79,75,17
79,75,17
79,75,17
79,75,17
78,74,16
77,73,15
77,73,15
78,74,16
79,75,17
78,74,15
78,74,15
78,74,15
78,74,15
78,74,15
77,73,14
78,74,15
78,74,15
78,74,15
77,73,14
77,72,17
78,73,18
78,73,18
78,73,18
77,73,15
76,72,14
76,72,14
76,72,14
77,73,15
77,73,15
77,73,15
77,73,15
77,73,15
77,73,15
77,73,15
77,73,15
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
77,73,14
76,71,16
76,71,16
77,72,17
77,72,17
77,72,17
77,72,17
77,72,17
77,72,17
78,73,18
78,73,18
79,74,19
79,74,19
80,73,18
80,73,18
79,72,17
78,71,16
79,72,17
80,73,18
81,74,19
80,73,18
79,72,17
79,72,17
79,72,17
79,72,17
77,72,17
77,72,17
77,72,17
77,72,17
77,72,17
78,73,18
78,73,18
79,74,19
80,73,18
80,73,18
81,74,19
81,74,19
81,74,19
81,74,19
81,74,19
81,74,19
80,73,18
81,74,19
81,74,19
81,74,19
81,74,19
80,73,18
79,72,17
78,71,16
80,73,16
80,73,16
80,73,16
80,73,16
81,74,17
81,74,17
80,73,16
80,73,16
80,73,16
80,73,16
79,72,15
80,73,16
80,73,16
81,74,17
81,74,17
81,74,17
79,72,15
79,72,15
79,72,15
80,73,16
80,73,16
80,73,16
80,73,16
80,73,16
80,73,16
80,73,16
80,73,16
80,73,16
80,73,16
81,74,17
79,75,17
79,75,17
78,74,16
