R,G,B
89,61,0
89,61,0
89,61,0
88,60,0
86,61,0
86,61,0
86,61,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
88,63,1
88,63,1
88,63,1
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,61,1
86,60,0
86,60,0
86,60,0
87,59,0
87,59,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
87,59,0
88,60,0
88,60,0
88,60,0
89,61,1
89,61,1
89,61,1
89,61,1
88,60,0
89,61,1
89,61,1
89,61,1
90,62,2
90,62,2
89,61,1
89,61,1
89,61,0
89,61,0
89,61,0
89,61,0
87,62,0
87,62,0
87,62,0
87,62,0
88,63,1
87,62,0
86,61,0
86,61,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
85,60,0
86,61,0
88,63,1
87,62,0
88,63,1
88,63,1
87,62,0
87,62,0
87,62,0
88,63,0
88,63,0
88,63,1
88,63,1
88,63,1
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
88,63,1
88,63,1
88,63,1
88,63,1
87,62,0
87,62,0
88,63,1
88,63,1
88,63,1
88,63,1
87,62,0
87,62,0
87,62,0
88,63,0
88,63,0
87,62,0
87,62,0
88,63,0
88,63,0
88,63,0
88,63,1
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
88,63,1
87,62,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
89,64,0
89,64,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
87,62,0
88,63,0
88,63,0
87,62,0
87,62,0
88,63,0
89,64,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
90,63,0
90,63,0
90,63,0
90,63,0
90,63,0
90,63,0
90,63,0
91,64,0
89,64,0
89,64,0
89,64,0
89,64,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
89,64,0
89,64,0
89,64,0
89,64,0
89,64,0
89,64,0
89,64,0
88,63,0
88,63,0
88,63,0
87,62,0
87,62,0
87,62,0
88,63,1
89,64,2
89,64,2
89,64,2
88,63,1
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
86,60,0
85,59,0
85,59,0
85,59,0
85,59,0
85,59,0
85,58,1
85,58,1
85,58,1
85,58,1
85,58,1
85,58,1
85,58,1
85,58,1
85,58,1
85,58,1
85,59,0
85,59,0
85,59,0
85,59,0
85,59,0
85,59,0
86,60,0
86,60,0
87,61,1
87,61,1
87,61,1
87,61,1
87,62,0
87,62,0
87,62,0
87,62,0
89,61,0
89,61,0
88,60,0
88,60,0
86,61,0
86,61,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
88,63,1
87,62,0
87,62,0
87,62,0
88,63,1
88,63,1
87,62,0
86,61,0
85,60,0
86,61,0
87,62,0
87,62,0
87,61,1
87,61,1
87,61,1
87,61,1
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
87,59,0
87,59,0
87,59,0
87,59,0
87,59,0
87,59,0
87,59,0
88,60,0
89,61,1
89,61,1
89,61,1
89,61,1
89,61,1
89,61,0
89,61,0
89,61,0
89,61,0
87,62,0
87,62,0
87,62,0
87,62,0
88,63,1
87,62,0
86,61,0
86,61,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
85,60,0
87,62,0
88,63,1
87,62,0
87,62,0
88,63,1
88,63,1
87,62,0
87,62,0
87,62,0
87,62,0
88,63,1
88,63,1
87,62,0
87,62,0
86,61,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
88,63,1
88,63,1
88,63,1
87,62,0
87,62,0
87,62,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,1
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
88,63,1
89,64,2
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
89,64,0
88,63,0
87,62,0
87,62,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
87,62,0
86,61,0
86,61,0
87,62,0
89,64,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
87,62,0
89,62,0
90,63,0
90,63,0
90,63,0
90,63,0
90,63,0
90,63,0
90,63,0
89,64,0
89,64,0
89,64,0
89,64,0
89,64,0
89,64,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
89,64,0
89,64,0
89,64,0
89,64,0
89,64,0
89,64,0
88,63,0
88,63,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
89,64,2
89,64,2
89,64,2
88,63,1
88,63,1
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
86,60,0
86,60,0
86,60,0
86,60,0
85,59,0
85,59,0
85,59,0
85,59,0
85,59,0
85,59,0
85,58,1
85,58,1
85,58,1
85,58,1
85,58,1
86,59,2
88,60,0
88,60,0
87,59,0
87,59,0
87,59,0
87,59,0
87,59,0
87,59,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
89,61,0
89,61,0
89,61,0
89,61,0
88,60,0
88,60,0
88,60,0
88,60,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
88,63,1
87,62,0
87,62,0
87,62,0
88,63,1
88,63,1
87,62,0
86,61,0
85,60,0
86,61,0
87,62,0
87,62,0
87,61,1
87,61,1
87,61,1
87,61,1
89,61,1
89,61,1
89,61,1
89,61,1
89,61,1
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
87,59,0
87,59,0
87,59,0
87,59,0
87,59,0
87,59,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
89,61,0
89,61,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
86,61,0
86,61,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
85,60,0
87,62,0
88,63,1
87,62,0
87,62,0
88,63,1
88,63,1
88,63,0
87,62,0
87,62,0
87,62,0
88,63,1
88,63,1
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
89,64,0
88,63,0
88,63,1
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
88,63,1
88,63,1
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
87,62,0
87,62,0
88,63,0
89,64,0
89,64,0
89,64,0
89,64,0
88,63,0
87,62,0
87,62,0
88,63,0
89,64,0
89,64,0
88,63,0
88,63,0
89,64,0
88,63,0
90,63,0
90,63,0
89,62,0
89,62,0
90,63,0
91,64,0
91,64,0
90,63,0
90,63,0
90,63,0
88,63,0
88,63,0
88,63,0
89,64,0
91,64,0
91,64,0
91,64,0
91,64,0
91,64,0
90,63,0
90,63,0
90,63,0
88,63,0
88,63,0
88,63,0
88,63,0
89,64,0
89,64,0
89,64,0
89,64,0
88,63,0
88,63,0
88,63,0
88,63,0
89,64,0
88,63,0
88,63,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
87,61,1
86,60,0
86,60,0
86,60,0
85,59,0
85,59,0
85,59,0
85,59,0
85,59,0
85,59,0
85,58,1
85,58,1
85,58,1
85,58,1
86,59,2
86,59,2
89,61,1
88,60,0
87,59,0
87,59,0
87,59,0
87,59,0
86,58,0
86,58,0
87,59,0
87,59,0
87,59,0
87,59,0
87,59,0
88,60,0
89,61,0
90,62,1
89,61,0
89,61,0
88,60,0
88,60,0
88,60,0
89,61,0
87,62,0
87,62,0
86,61,0
86,61,0
86,61,0
86,61,0
86,61,0
86,61,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
86,61,0
87,62,0
87,62,0
88,63,1
87,62,0
86,61,0
86,61,0
87,62,0
87,62,0
87,62,0
87,61,1
86,60,0
86,60,0
87,61,1
90,62,2
89,61,1
89,61,1
89,61,1
89,61,1
89,61,1
88,60,0
87,59,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
87,59,0
87,59,0
88,60,0
88,60,0
86,61,0
87,62,0
87,62,0
87,62,0
88,63,1
88,63,1
87,62,0
86,61,0
86,61,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
86,61,0
87,62,0
88,63,1
87,62,0
87,62,0
88,63,1
88,63,1
88,63,0
88,63,0
88,63,0
88,63,0
88,63,1
88,63,1
88,63,1
87,62,0
88,63,1
88,63,1
88,63,1
88,63,1
88,63,1
88,63,1
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
88,63,0
88,63,0
88,63,0
89,64,0
89,64,0
89,64,0
88,63,1
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
88,63,1
88,63,0
88,63,0
87,62,0
87,62,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
87,62,0
87,62,0
88,63,0
89,64,0
89,64,0
89,64,0
89,64,0
88,63,0
87,62,0
87,62,0
88,63,0
89,64,0
89,64,0
89,64,0
89,64,0
89,64,0
89,64,0
91,64,0
90,63,0
89,62,0
89,62,0
90,63,0
91,64,0
91,64,0
91,64,0
90,63,0
90,63,0
88,63,0
88,63,0
88,63,0
89,64,0
91,64,0
91,64,0
91,64,0
91,64,0
91,64,0
91,64,0
91,64,0
91,64,0
89,64,0
89,64,0
89,64,0
89,64,0
90,65,1
90,65,1
90,65,1
89,64,0
89,64,0
88,63,0
88,63,0
88,63,0
89,64,0
88,63,0
88,63,0
88,63,0
87,62,0
87,62,0
87,62,0
88,63,1
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
88,63,0
86,60,0
86,60,0
86,60,0
85,59,0
85,59,0
85,59,0
85,59,0
85,59,0
84,58,0
85,59,0
85,59,0
85,59,0
84,58,0
85,59,0
86,59,2
87,60,3
88,60,0
88,60,0
87,59,0
87,59,0
87,59,0
87,59,0
87,59,0
87,59,0
87,59,0
87,59,0
87,59,0
87,59,0
88,60,0
88,60,0
89,61,0
90,62,1
89,61,0
89,61,0
89,61,0
89,61,0
89,61,0
89,61,0
90,62,1
90,62,1
86,61,0
86,61,0
86,61,0
85,60,0
86,61,0
86,61,0
86,61,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
87,62,0
86,61,0
86,61,0
86,61,0
87,62,0
87,62,0
87,62,0
87,62,0
86,61,0
87,62,0
87,62,0
87,62,0
87,62,0
86,60,0
86,60,0
86,60,0
87,61,1
89,61,0
89,61,0
88,60,0
89,61,1
89,61,1
89,61,1
88,60,0
88,60,0
88,60,0
88,60,0
89,61,1
89,61,1
89,61,1
89,61,1
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
88,60,0
